arXiv ID,Title,Authors,Subjects,Publication Date,PDF Link,Image Path
arXiv:2502.09370,Analytical study of a generalized Dirichlet-Neumann operator for three-dimensional water waves with vorticity,S. Pasquali,Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09370,images/arXiv_2502.09370.png
arXiv:2502.09368,Optimal Microcontroller Usage in Reconfigurable Intelligent Surface: Batteryless IoT Systems Case Study,"Shakil Ahmed, Ahmed E. Kamal, Mohamed Y. Selim",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.09368,images/arXiv_2502.09368.png
arXiv:2502.09366,Gradient estimates for nonlinear kinetic Fokker-Planck equations,"Kyeongbae Kim, Ho-Sik Lee, Simon Nowak",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09366,images/arXiv_2502.09366.png
arXiv:2502.09364,Rigid and flexible Wasserstein spaces,"Zoltán M. Balogh, Eric Ströher, Tamás Titkos, Dániel Virosztek",Metric Geometry (math.MG); Functional Analysis (math.FA); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09364,images/arXiv_2502.09364.png
arXiv:2502.09359,Flipping operators and locally harmonic Maass forms,"Kathrin Bringmann, Andreas Mono, Larry Rolen",Number Theory (math.NT),2025-02-14,https://arxiv.org/pdf/2502.09359,images/arXiv_2502.09359.png
arXiv:2502.09353,Discrete curvature,Ivan Izmestiev,Differential Geometry (math.DG); Metric Geometry (math.MG),2025-02-14,https://arxiv.org/pdf/2502.09353,images/arXiv_2502.09353.png
arXiv:2502.09349,On the Zariski density of rational curves on IHS manifolds,"Pietro Beri, Giovanni Mongardi, Gianluca Pacienza",Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09349,images/arXiv_2502.09349.png
arXiv:2502.09344,Revisiting Topological Interference Management: A Learning-to-Code on Graphs Perspective,"Zhiwei Shan, Xinping Yi, Han Yu, Chung-Shou Liao, Shi Jin",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.09344,images/arXiv_2502.09344.png
arXiv:2502.09343,The number of monotone trapezoids with prescribed bottom row,"Ilse Fischer, Hans Höngesberg",Combinatorics (math.CO); Mathematical Physics (math-ph),2025-02-14,https://arxiv.org/pdf/2502.09343,images/arXiv_2502.09343.png
arXiv:2502.09339,Higher Order Elliptic Equations on Nonsmooth Domains,Jun Geng,Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09339,images/arXiv_2502.09339.png
arXiv:2502.09337,Some aspects of descent theory and applications,Rui Prezado,Category Theory (math.CT),2025-02-14,https://arxiv.org/pdf/2502.09337,images/arXiv_2502.09337.png
arXiv:2502.09336,A finite element scheme for an optimal control problem on steady Navier-Stokes-Brinkman equations,"Jorge Aguayo Araneda, Julie Y. Merten",Numerical Analysis (math.NA); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09336,images/arXiv_2502.09336.png
arXiv:2502.09322,Feedback control solves pseudoconvex optimal tracking problems in nonlinear dynamical systems,"Tingli Hu, Sami Haddadin",Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09322,images/arXiv_2502.09322.png
arXiv:2502.09321,Stability of composite Wave of Planar Viscous Shock and Rarefaction for 3D Barotropic Navier-Stokes Equations,"Jiajin Shi, Yi Wang",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09321,images/arXiv_2502.09321.png
arXiv:2502.09312,Observability and controllability for Schrödinger equations in the semi-periodic setting,"Jingrui Niu, Zehua Zhao",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09312,images/arXiv_2502.09312.png
arXiv:2502.09310,Global Stabilization of Chemostats with Nonzero Mortality and Substrate Dynamics,"Iasson Karafyllis, Epiphane Loko, Miroslav Krstic, Antoine Chaillet",Optimization and Control (math.OC); Systems and Control (eess.SY); Populations and Evolution (q-bio.PE),2025-02-14,https://arxiv.org/pdf/2502.09310,images/arXiv_2502.09310.png
arXiv:2502.09302,The bilinear fermionic form for KP and BKP hierarchies,"Shuai Guo, Ce Ji, Chenglang Yang",Mathematical Physics (math-ph); Algebraic Geometry (math.AG); Exactly Solvable and Integrable Systems (nlin.SI),2025-02-14,https://arxiv.org/pdf/2502.09302,images/arXiv_2502.09302.png
arXiv:2502.09300,Optimal response for stochastic differential equations by local kernel perturbations,"Gianmarco del Sarto, Stefano Galatolo, Sakshi Jain",Dynamical Systems (math.DS); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09300,images/arXiv_2502.09300.png
arXiv:2502.09292,Failure of the least action admissibility principle in the context of the compressible Euler equations,"Simon Markfelder, Valentin Pellhammer",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09292,images/arXiv_2502.09292.png
arXiv:2502.09290,Dynamic Rolling Horizon Optimization for Network-Constrained V2X Value Stacking of Electric Vehicles Under Uncertainties,"Canchen Jiang, Ariel Liebman, Bo Jie, Hao Wang",Optimization and Control (math.OC); Machine Learning (cs.LG); Systems and Control (eess.SY),2025-02-14,https://arxiv.org/pdf/2502.09290,images/arXiv_2502.09290.png
arXiv:2502.09273,Non-parametric estimation of net survival under dependence between death causes,"Oskar Laverny, Nathalie Grafféo, Roch Giorgi",Statistics Theory (math.ST),2025-02-14,https://arxiv.org/pdf/2502.09273,images/arXiv_2502.09273.png
arXiv:2502.09262,Exact physical quantities of the $D_2^{(2)}$ spin chain model with generic open boundary conditions,"Pengcheng Lu, Junpeng Cao, Wen-Li Yang, Ian Marquette, Yao-Zhong Zhang",Mathematical Physics (math-ph),2025-02-14,https://arxiv.org/pdf/2502.09262,images/arXiv_2502.09262.png
arXiv:2502.09259,Arithmetic properties of the Taylor coefficients of differentially algebraic power series,"Christian Krattenthaler (Universität Wien), Tanguy Rivoal (CNRS, Université Grenoble Alpes)",Number Theory (math.NT); Classical Analysis and ODEs (math.CA); Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09259,images/arXiv_2502.09259.png
arXiv:2502.09244,Memristor-Based Meta-Learning for Fast mmWave Beam Prediction in Non-Stationary Environments,"Yuwen Cao, Wenqin Lu, Tomoaki Ohtsuki, Setareh Maghsudi, Xue-Qin Jiang, Charalampos C. Tsimenidis",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.09244,images/arXiv_2502.09244.png
arXiv:2502.09229,Likelihood asymptotics of stationary Gaussian arrays,"Carsten H. Chong, Fabian Mies",Statistics Theory (math.ST),2025-02-14,https://arxiv.org/pdf/2502.09229,images/arXiv_2502.09229.png
arXiv:2502.09199,On mean curvature flow solitons in the sphere,"Marco Magliaro, Luciano Mari, Fernanda Roing, Andreas Savas-Halilaj",Differential Geometry (math.DG),2025-02-14,https://arxiv.org/pdf/2502.09199,images/arXiv_2502.09199.png
arXiv:2502.09196,On the cubic-quintic Schrödinger equation,Laura Baldelli,Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09196,images/arXiv_2502.09196.png
arXiv:2502.09194,XAInomaly: Explainable and Interpretable Deep Contractive Autoencoder for O-RAN Traffic Anomaly Detection,"Osman Tugay Basaran, Falko Dressler",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.09194,images/arXiv_2502.09194.png
arXiv:2502.09190,Pace in Concert with Phase: Rate-induced Phase-tipping in Birhythmic Oscillators,"Ravi Kumar K, Hassan Alkhayuon, Sebastian Wieczorek, Partha Sharathi Dutta",Dynamical Systems (math.DS),2025-02-14,https://arxiv.org/pdf/2502.09190,images/arXiv_2502.09190.png
arXiv:2502.09185,Practical properties of the CUSUM process,"Michael Baron, Sergey V. Malov",Probability (math.PR); Statistics Theory (math.ST),2025-02-14,https://arxiv.org/pdf/2502.09185,images/arXiv_2502.09185.png
arXiv:2502.09182,Global well-posedness of a nonlinear Boussinesq-fluid-structure interaction system with large initial data,"J.Zhang, S.Wang, L.Shen",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09182,images/arXiv_2502.09182.png
arXiv:2502.09178,An equisingular heritage of Bernard Teissier,Georges Comte,Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.09178,images/arXiv_2502.09178.png
arXiv:2502.09176,"On the source algebra equivalence class of blocks with cyclic defect groups, II","Gerhard Hiss, Caroline Lassueur",Representation Theory (math.RT); Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.09176,images/arXiv_2502.09176.png
arXiv:2502.09166,Integrated Sensing and Communication with Distributed Rate-Limited Helpers,"Yiqi Chen, Holger Boche, Tobias J. Oechtering, Mikael Skoglund",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.09166,images/arXiv_2502.09166.png
arXiv:2502.09165,Generalizing Reduced Rank Extrapolation to Low-Rank Matrix Sequences,"Pascal den Boef, Patrick Kürschner, Xiaobo Liu, Jos Maubach, Jens Saak, Wil Schilders, Jonas Schulze, Nathan van de Wouw",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09165,images/arXiv_2502.09165.png
arXiv:2502.09163,Cloven operadic categories: An approach to operadic categories with cardinalities in finite unordered sets,Martin Markl,Category Theory (math.CT),2025-02-14,https://arxiv.org/pdf/2502.09163,images/arXiv_2502.09163.png
arXiv:2502.09161,Bijections in weakly increasing trees via binary trees,"Yang Li, Zhicong Lin",Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09161,images/arXiv_2502.09161.png
arXiv:2502.09160,A Jensen inequality for partial traces and applications to partially semiclassical limits,"Eric A. Carlen, Rupert L. Frank, Simon Larson",Mathematical Physics (math-ph); Functional Analysis (math.FA); Spectral Theory (math.SP),2025-02-14,https://arxiv.org/pdf/2502.09160,images/arXiv_2502.09160.png
arXiv:2502.09159,An hp Multigrid Approach for space-time finite elements,"Nils Margenberg, Peter Munch, Markus Bause",Numerical Analysis (math.NA); Computational Physics (physics.comp-ph),2025-02-14,https://arxiv.org/pdf/2502.09159,images/arXiv_2502.09159.png
arXiv:2502.09157,A positive homogeneous fractional harmonic function in a Lipschitz cone,Chilin Zhang,Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09157,images/arXiv_2502.09157.png
arXiv:2502.09153,On the stress transit function,"Arun Anil, Manoj Changat, Tanja Dravec, Jeny Jacob, Lekshmi Kamal K.Sheela, Iztok Peterin, Polona Repolusk, Rishi Ranjan Singh",Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09153,images/arXiv_2502.09153.png
arXiv:2502.09149,Enumeration and constructions of vertices of the polytope of polystochastic matrices,Anna A. Taranenko,Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09149,images/arXiv_2502.09149.png
arXiv:2502.09145,On (in)consistency of M-estimators under contamination,"Jens Klooster, Bent Nielsen",Statistics Theory (math.ST); Econometrics (econ.EM); Methodology (stat.ME),2025-02-14,https://arxiv.org/pdf/2502.09145,images/arXiv_2502.09145.png
arXiv:2502.09134,The radius of metric regularity at infinity,"Tung Minh Nguyen, Tien-Son Pham",Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09134,images/arXiv_2502.09134.png
arXiv:2502.09123,Exponential mixing for Hamiltonian shear flow,Weili Zhang,Dynamical Systems (math.DS); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09123,images/arXiv_2502.09123.png
arXiv:2502.09121,Tail Profile of Bulk Gaussian Multiplicative Chaos Measures I: Bulk/Boundary Quotients,Yichao Huang,Probability (math.PR); Mathematical Physics (math-ph),2025-02-14,https://arxiv.org/pdf/2502.09121,images/arXiv_2502.09121.png
arXiv:2502.09119,Mathematical modeling and simulation of coupled aqueous humor flow and temperature distribution in a realistic 3D human eye geometry,"Thomas Saigre (IRMA), Vincent Chabannes (IRMA), Christophe Prud'Homme (IRMA), Marcela Szopos (MAP5 - UMR 8145)",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09119,images/arXiv_2502.09119.png
arXiv:2502.09114,Fragmentations with erasure,"Serge Cohen, James Norris, Michel Pain, Gennady Samorodnitsky",Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09114,images/arXiv_2502.09114.png
arXiv:2502.09113,An algorithm to compute the Hausdorff dimension of regular branch groups,Jorge Fariña-Asategui,Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.09113,images/arXiv_2502.09113.png
arXiv:2502.09109,On a Question of Hamkins',Albert Visser,Logic (math.LO),2025-02-14,https://arxiv.org/pdf/2502.09109,images/arXiv_2502.09109.png
arXiv:2502.09107,Anosov deformations of Barbot representations,"Samuel Bronstein, Colin Davalo",Geometric Topology (math.GT); Differential Geometry (math.DG); Dynamical Systems (math.DS),2025-02-14,https://arxiv.org/pdf/2502.09107,images/arXiv_2502.09107.png
arXiv:2502.09103,Optimal rate of convergence in the vanishing viscosity for quadratic Hamilton-Jacobi equations,"Louis-Pierre Chaintron (ENS-PSL), Samuel Daudin (UPCité)",Analysis of PDEs (math.AP); Optimization and Control (math.OC); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09103,images/arXiv_2502.09103.png
arXiv:2502.09102,Sum-of-Squares Hierarchy for the Gromov Wasserstein Problem,"Hoang Anh Tran, Binh Tuan Nguyen, Yong Sheng Soh",Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09102,images/arXiv_2502.09102.png
arXiv:2502.09098,Multi-agent systems with multiple-wise interaction: Propagation of chaos and macroscopic limit,"Thierry Paul (LYSM), Stefano Rossi, Emmanuel Trélat (LJLL (UMR\_7598), CaGE), Eth Zurich",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09098,images/arXiv_2502.09098.png
arXiv:2502.09094,Interpolation and random interpolation in de Branges-Rovnyak spaces,"Andreas Hartmann (IMB), Giuseppe Lamberti (IMB)",Complex Variables (math.CV); Functional Analysis (math.FA); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09094,images/arXiv_2502.09094.png
arXiv:2502.09091,On uniqueness of functions in the extended Selberg class with moving targets,"Jun Wang, Qiongyan Wang, Xiao Yao",Complex Variables (math.CV),2025-02-14,https://arxiv.org/pdf/2502.09091,images/arXiv_2502.09091.png
arXiv:2502.09074,Bilevel gradient methods and Morse parametric qualification,"Jérôme Bolte (TSE-R), Quoc-Tung Le (TSE-R), Edouard Pauwels (CNRS, IRIT-ADRIA), Samuel Vaiter (CNRS, LJAD)",Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09074,images/arXiv_2502.09074.png
arXiv:2502.09072,"Noncommutative chromatic quasi-symmetric functions, Macdonald polynomials, and the Yang-Baxter equation","Jean-Christophe Novelli, Jean-Yves Thibon",Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09072,images/arXiv_2502.09072.png
arXiv:2502.09065,Lowering the Error Floor of Error Correction Code Transformer,"Taewoo Park, Seong-Joon Park, Hee-Youl Kwak, Sang-Hyo Kim, Yongjune Kim",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.09065,images/arXiv_2502.09065.png
arXiv:2502.09052,Bipartite Turán number of trees,"Yair Caro, Balázs Patkós, Zsolt Tuza",Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09052,images/arXiv_2502.09052.png
arXiv:2502.09041,Isoparametric foliations and complex structures,"Chao Qian, Zizhou Tang, Wenjiao Yan",Differential Geometry (math.DG); Complex Variables (math.CV),2025-02-14,https://arxiv.org/pdf/2502.09041,images/arXiv_2502.09041.png
arXiv:2502.09040,On Zero Energy States in SUSY Quantum Mechanics on Manifolds,Ivan G. Avramidi,Mathematical Physics (math-ph); High Energy Physics - Theory (hep-th),2025-02-14,https://arxiv.org/pdf/2502.09040,images/arXiv_2502.09040.png
arXiv:2502.09034,Conjugate harmonic functions in 3D with respect to a unitary gradient,Pablo Pedregal,Analysis of PDEs (math.AP); Classical Analysis and ODEs (math.CA); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09034,images/arXiv_2502.09034.png
arXiv:2502.09032,Fourier dimension of the graph of fractional Brownian motion with $H \ge 1/2$,"Chun-Kit Lai, Cheuk Yin Lee",Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.09032,images/arXiv_2502.09032.png
arXiv:2502.09030,$L^p\to L^q$ estimates for Stein's spherical maximal operators,"Naijia Liu, Minxing Shen, Liang Song, Lixin Yan",Classical Analysis and ODEs (math.CA),2025-02-14,https://arxiv.org/pdf/2502.09030,images/arXiv_2502.09030.png
arXiv:2502.09028,Second-order derivations of functions spaces --- a characterization of second-order differential operators,"Włodzimierz Fechner, Eszter Gselmann",Classical Analysis and ODEs (math.CA),2025-02-14,https://arxiv.org/pdf/2502.09028,images/arXiv_2502.09028.png
arXiv:2502.09025,Physics-based Machine Learning for Computational Fracture Mechanics,"Fadi Aldakheel, Elsayed S. Elsayed, Yousef Heider, Oliver Weeger",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.09025,images/arXiv_2502.09025.png
arXiv:2502.09009,Extension dimensions under singular equivalences and recollements,"Jinbi Zhang, Junling Zheng",Representation Theory (math.RT); Rings and Algebras (math.RA),2025-02-14,https://arxiv.org/pdf/2502.09009,images/arXiv_2502.09009.png
arXiv:2502.09005,Second-Order Necessary Optimality Conditions for Multi-Objective Optimal Control Problems on Riemannian Manifolds,Li Deng,Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09005,images/arXiv_2502.09005.png
arXiv:2502.08998,Generic Structural Stability for $2 \times 2$ Systems of Hyperbolic Conservation Laws,"Hong Kiat Tan, Andrea L. Bertozzi",Analysis of PDEs (math.AP); Differential Geometry (math.DG); Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.08998,images/arXiv_2502.08998.png
arXiv:2502.08996,Masked Modulation: High-Throughput Half-Duplex ISAC Transmission Waveform Design,"Yifeng Xiong, Junsheng Mu, Shuangyang Li, Marco Lops, Jianhua Zhang",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.08996,images/arXiv_2502.08996.png
arXiv:2502.08980,Identification of generic finite metric spaces by eigenvalues,Jun O'Hara,Metric Geometry (math.MG),2025-02-14,https://arxiv.org/pdf/2502.08980,images/arXiv_2502.08980.png
arXiv:2502.08979,Hyperkähler structures on leaves of hyper-Lie Poisson manifolds,"Dadi Ni, Kaichuan Qi",Differential Geometry (math.DG); Symplectic Geometry (math.SG),2025-02-14,https://arxiv.org/pdf/2502.08979,images/arXiv_2502.08979.png
arXiv:2502.08967,Low Complexity Artificial Noise Aided Beam Focusing Design in Near-Field Terahertz Communications,"Zhifeng Tang, Nan Yang, Xiangyun Zhou, Salman Durrani, Markku Juntti, Josep Miquel Jornet",Information Theory (cs.IT),2025-02-14,https://arxiv.org/pdf/2502.08967,images/arXiv_2502.08967.png
arXiv:2502.08965,The monoid structure of singular twisted virtual braids,"Prabhakar Madeti, Komal Negi",Group Theory (math.GR); Geometric Topology (math.GT),2025-02-14,https://arxiv.org/pdf/2502.08965,images/arXiv_2502.08965.png
arXiv:2502.08964,Decentralized Stochastic Optimization over Unreliable Networks via Two-timescales Updates,"Haoming Liu, Chung-Yiu Yau, Hoi-To Wai",Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.08964,images/arXiv_2502.08964.png
arXiv:2502.08955,Classification of virtual links by arc shift move,"Aastha Sahore, Komal Negi, Amrender Singh Gill, Madeti Prabhakar",Geometric Topology (math.GT),2025-02-14,https://arxiv.org/pdf/2502.08955,images/arXiv_2502.08955.png
arXiv:2502.08951,Asymptotic-Preserving Dynamical Low-Rank Method for the Stiff Nonlinear Boltzmann Equation,"Lukas Einkemmer, Jingwei Hu, Shiheng Zhang",Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.08951,images/arXiv_2502.08951.png
arXiv:2502.08948,Preservation of log-concavity on gamma polynomials,"Luis Ferroni, Greta Panova, Lorenzo Venturello",Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.08948,images/arXiv_2502.08948.png
arXiv:2502.08945,Covering points with planes,"Hailong Dao, Manik Dhar, Izabella Łaba, Ben Lund",Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.08945,images/arXiv_2502.08945.png
arXiv:2502.08935,Ergodicity and turnpike properties of linear-quadratic mean field control problems,"Erhan Bayraktar, Jiamin Jian",Optimization and Control (math.OC); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.08935,images/arXiv_2502.08935.png
arXiv:2502.08934,On the structure of modular lattices -- Unique gluing and dissection,Dale R. Worley,Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.08934,images/arXiv_2502.08934.png
arXiv:2502.08926,Schauder type estimates for degenerate or singular parabolic systems with partially DMO coefficients,"Hongjie Dong, Seongmin Jeon",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.08926,images/arXiv_2502.08926.png
arXiv:2502.08912,Global bifurcations of nodal solutions for coupled elliptic equations,"Haoyu Li, Olímpio Hiroshi Miyagaki, Zhi-Qiang Wang",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.08912,images/arXiv_2502.08912.png
arXiv:2502.08911,Linear Logic and the Hilbert Scheme,"William Troiani, Daniel Murfet",Logic (math.LO); Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.08911,images/arXiv_2502.08911.png
arXiv:2502.08897,Gaussian Waves and Edge Eigenvectors of Random Regular Graphs,"Yukun He, Jiaoyang Huang, Horng-Tzer Yau",Probability (math.PR); Mathematical Physics (math-ph); Combinatorics (math.CO); Spectral Theory (math.SP),2025-02-14,https://arxiv.org/pdf/2502.08897,images/arXiv_2502.08897.png
arXiv:2502.08868,Extendibility of Latin Hypercuboids,"Candida Bowtell, Alice Devillers, André Kündgen, Padraig Ó Catháin, Ian M. Wanless",Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.08868,images/arXiv_2502.08868.png
arXiv:2502.08855,On the tightness of linear relaxations of alternative mixed integer programming formulations for the generator maintenance scheduling problem,Tiago Andrade,Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.08855,images/arXiv_2502.08855.png
arXiv:2502.08852,Controlling discrete semilinear wave equations toward flocks,"Sarah Strikwerda, Hung Vinh Tran, Minh-Binh Tran",Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.08852,images/arXiv_2502.08852.png
arXiv:2502.08847,Eigenvalue selectors for representations of compact connected groups,Alexandru Chirvasitu,Representation Theory (math.RT); Algebraic Topology (math.AT); General Topology (math.GN); Group Theory (math.GR),2025-02-14,https://arxiv.org/pdf/2502.08847,images/arXiv_2502.08847.png
arXiv:2502.08846,Recovery guarantees for compressed sensing photoacoustic tomography,Alessandro Felisi,Analysis of PDEs (math.AP); Functional Analysis (math.FA); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.08846,images/arXiv_2502.08846.png
arXiv:2502.08840,Thresholds for Reconstruction of Random Hypergraphs From Graph Projections,"Guy Bresler, Chenghao Guo, Yury Polyanskiy",Statistics Theory (math.ST); Information Theory (cs.IT); Probability (math.PR),2025-02-14,https://arxiv.org/pdf/2502.08840,images/arXiv_2502.08840.png
arXiv:2502.08835,"A Bundle-based Augmented Lagrangian Framework: Algorithm, Convergence, and Primal-dual Principles","Feng-Yi Liao, Yang Zheng",Optimization and Control (math.OC); Systems and Control (eess.SY),2025-02-14,https://arxiv.org/pdf/2502.08835,images/arXiv_2502.08835.png
arXiv:2502.08819,Polarization of lattices: Stable cold spots and spherical designs,"Christine Bachoc, Philippe Moustrou, Frank Vallentin, Marc Christian Zimmermann",Metric Geometry (math.MG),2025-02-14,https://arxiv.org/pdf/2502.08819,images/arXiv_2502.08819.png
arXiv:2502.08812,Probabilistic global-wellposedness for the energy-supercritical Schrödinger equations on compact manifolds,"Seynabou Gueye, Filone G. Longmou-Moffo, Mouhamadou Sy",Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.08812,images/arXiv_2502.08812.png
arXiv:2502.08810,Matroidal representations of low rank,"Jaiung Jun, Kalina Mincheva, Jeffrey Tolliver",Combinatorics (math.CO); Representation Theory (math.RT),2025-02-14,https://arxiv.org/pdf/2502.08810,images/arXiv_2502.08810.png
