arXiv ID,Title,Authors,Subjects,Publication Date,PDF Link,Image Path
arXiv:2502.09490,Inverse Design with Dynamic Mode Decomposition,"Yunpeng Zhu, Liangliang Cheng, Anping Jing, Hanyu Huo, Ziqiang Lang, Bo Zhang, J. Nathan Kutz",Machine Learning (cs.LG); Systems and Control (eess.SY); Dynamical Systems (math.DS); Optimization and Control (math.OC); Fluid Dynamics (physics.flu-dyn),2025-02-14,https://arxiv.org/pdf/2502.09490,images/arXiv_2502.09490.png
arXiv:2502.09466,Run-and-tumble particles with 1D Coulomb interaction: the active jellium model and the non-reciprocal self-gravitating gas,"Léo Touzo, Pierre Le Doussal",Statistical Mechanics (cond-mat.stat-mech); Soft Condensed Matter (cond-mat.soft); Mathematical Physics (math-ph),2025-02-14,https://arxiv.org/pdf/2502.09466,images/arXiv_2502.09466.png
arXiv:2502.09412,A LP-rounding based algorithm for soft capacitated facility location problem with submodular penalties,"Hanyin Xiao, Jiaming Zhang, Zhikang Zhang, Weidong Li",Data Structures and Algorithms (cs.DS); Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09412,images/arXiv_2502.09412.png
arXiv:2502.09352,Wasserstein distributional adversarial training for deep neural networks,"Xingjian Bai, Guangyi He, Yifan Jiang, Jan Obloj",Machine Learning (cs.LG); Computer Vision and Pattern Recognition (cs.CV); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09352,images/arXiv_2502.09352.png
arXiv:2502.09324,Depth-Bounds for Neural Networks via the Braid Arrangement,"Moritz Grillo, Christoph Hertrich, Georg Loho",Machine Learning (cs.LG); Discrete Mathematics (cs.DM); Neural and Evolutionary Computing (cs.NE); Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.09324,images/arXiv_2502.09324.png
arXiv:2502.09306,Non-asymptotic Analysis of Diffusion Annealed Langevin Monte Carlo for Generative Modelling,"Paula Cordero-Encinar, O.Deniz Akyildiz, Andrew B. Duncan",Machine Learning (stat.ML); Machine Learning (cs.LG); Probability (math.PR); Computation (stat.CO),2025-02-14,https://arxiv.org/pdf/2502.09306,images/arXiv_2502.09306.png
arXiv:2502.09210,Localized past stability of the subcritical Kasner-scalar field spacetimes,"F. Beyer, T.A. Oliynyk, W. Zheng",General Relativity and Quantum Cosmology (gr-qc); Mathematical Physics (math-ph); Analysis of PDEs (math.AP),2025-02-14,https://arxiv.org/pdf/2502.09210,images/arXiv_2502.09210.png
arXiv:2502.09151,Regularization can make diffusion models more efficient,"Mahsa Taheri, Johannes Lederer",Machine Learning (cs.LG); Statistics Theory (math.ST); Machine Learning (stat.ML),2025-02-14,https://arxiv.org/pdf/2502.09151,images/arXiv_2502.09151.png
arXiv:2502.09136,Oscillons from $Q$-balls,"F. Blaschke, T. Romańczukiewicz, K. Sławińska, A. Wereszczyński",High Energy Physics - Theory (hep-th); Mathematical Physics (math-ph); Pattern Formation and Solitons (nlin.PS),2025-02-14,https://arxiv.org/pdf/2502.09136,images/arXiv_2502.09136.png
arXiv:2502.09131,A Stochastic Fundamental Lemma with Reduced Disturbance Data Requirements,"Ruchuan Ou, Guanru Pan, Timm Faulwasser",Systems and Control (eess.SY); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.09131,images/arXiv_2502.09131.png
